berry,observation_date,main_tree_type,forest_development_class,x,y,year,month,day,week_number
bilberry,07/07/2018,pine,old,410000,7040000,2018,7,7,27
bilberry,16/07/2018,spruce,old,350000,7070000,2018,7,16,29
bilberry,17/07/2018,spruce,plantation,420000,7300000,2018,7,17,29
bilberry,19/07/2018,spruce,old,440000,7370000,2018,7,19,29
bilberry,20/07/2018,pine,plantation,350000,7060000,2018,7,20,29
bilberry,16/07/2018,pine,old,320000,7030000,2018,7,16,29
bilberry,20/07/2018,spruce,old,480000,7030000,2018,7,20,29
bilberry,21/07/2018,pine,plantation,240000,6720000,2018,7,21,29
bilberry,23/07/2018,larch,old,280000,6660000,2018,7,23,30
bilberry,23/07/2018,pine,old,610000,7120000,2018,7,23,30
bilberry,22/07/2018,spruce,old,390000,6720000,2018,7,22,29
bilberry,24/07/2018,pine,seedling,380000,6700000,2018,7,24,30
bilberry,23/07/2018,pine,old,390000,6690000,2018,7,23,30
bilberry,06/07/2018,pine,old,430000,6910000,2018,7,6,27
bilberry,04/07/2018,mixed,plantation,450000,7310000,2018,7,4,27
bilberry,11/07/2018,pine,plantation,540000,6770000,2018,7,11,28
bilberry,24/07/2018,spruce,old,440000,7380000,2018,7,24,30
bilberry,25/07/2018,pine,old,460000,6730000,2018,7,25,30
bilberry,28/07/2018,pine,plantation,390000,6740000,2018,7,28,30
bilberry,28/07/2018,pine,plantation,390000,6740000,2018,7,28,30
bilberry,16/07/2018,pine,old,270000,6710000,2018,7,16,29
bilberry,30/07/2018,pine,old,480000,6730000,2018,7,30,31
bilberry,30/07/2018,pine,plantation,510000,6710000,2018,7,30,31
bilberry,27/07/2018,spruce,old,220000,6740000,2018,7,27,30
bilberry,01/08/2018,pine,plantation,470000,6920000,2018,8,1,31
bilberry,25/07/2018,spruce,old,610000,7360000,2018,7,25,30
bilberry,01/08/2018,pine,plantation,570000,7410000,2018,8,1,31
bilberry,26/07/2018,pine,plantation,430000,7400000,2018,7,26,30
bilberry,31/07/2018,spruce,old,460000,7370000,2018,7,31,31
bilberry,30/07/2018,pine,plantation,500000,7350000,2018,7,30,31
bilberry,30/07/2018,spruce,plantation,500000,7360000,2018,7,30,31
bilberry,30/07/2018,spruce,plantation,500000,7350000,2018,7,30,31
bilberry,01/08/2018,pine,plantation,430000,7400000,2018,8,1,31
bilberry,01/08/2018,pine,plantation,430000,7400000,2018,8,1,31
bilberry,01/08/2018,pine,plantation,410000,7450000,2018,8,1,31
bilberry,01/08/2018,pine,plantation,410000,7450000,2018,8,1,31
bilberry,04/08/2018,pine,plantation,440000,6820000,2018,8,4,31
